令和5年1月1日住民基本台帳年齢階級別人口（都道府県別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,
,,,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳～94歳,95歳～99歳,100歳以上
団体コード,都道府県名,性別,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人
-,合計,計,125416877 ,4279321 ,5050711 ,5401790 ,5588774 ,6310424 ,6448903 ,6514522 ,7302747 ,8013455 ,9464385 ,9548151 ,8143645 ,7461055 ,7446074 ,9178393 ,7099114 ,5685736 ,3894561 ,1922555 ,574429 ,88085 
-,合計,男,61175768 ,2192250 ,2589182 ,2769436 ,2863895 ,3242208 ,3324472 ,3347657 ,3731475 ,4078212 ,4808345 ,4827997 ,4085447 ,3701790 ,3631126 ,4336773 ,3191907 ,2375135 ,1413673 ,542360 ,112356 ,10052 
-,合計,女,64241109 ,2087071 ,2461529 ,2632354 ,2724879 ,3068216 ,3124431 ,3166865 ,3571272 ,3935243 ,4656040 ,4720154 ,4058198 ,3759265 ,3814948 ,4841620 ,3907207 ,3310601 ,2480888 ,1380195 ,462073 ,78033 
010006,北海道,計,5139913 ,149077 ,182693 ,201090 ,212820 ,227410 ,226090 ,240481 ,279718 ,316231 ,379070 ,375615 ,340679 ,336227 ,353751 ,436423 ,317973 ,256474 ,181131 ,93059 ,27921 ,4263 
010006,北海道,男,2430979 ,76449 ,93500 ,102897 ,108947 ,117233 ,115631 ,121445 ,140523 ,157392 ,188506 ,184123 ,163186 ,161302 ,167527 ,198649 ,135762 ,100544 ,64049 ,26486 ,5484 ,542 
010006,北海道,女,2708934 ,72628 ,89193 ,98193 ,103873 ,110177 ,110459 ,119036 ,139195 ,158839 ,190564 ,191492 ,177493 ,174925 ,186224 ,237774 ,182211 ,155930 ,117082 ,66573 ,22437 ,3721 
020001,青森県,計,1225497 ,34273 ,43090 ,47498 ,51271 ,48363 ,46658 ,51258 ,63243 ,72932 ,85724 ,87232 ,83197 ,89505 ,94873 ,107971 ,77268 ,62348 ,48054 ,23409 ,6146 ,794 
020001,青森県,男,581216 ,17648 ,22042 ,24321 ,26103 ,25570 ,24772 ,26548 ,32033 ,37158 ,43386 ,43383 ,40720 ,43330 ,45130 ,49973 ,33302 ,23520 ,15350 ,5693 ,1062 ,83 
020001,青森県,女,644281 ,16625 ,21048 ,23177 ,25168 ,22793 ,21886 ,24710 ,31210 ,35774 ,42338 ,43849 ,42477 ,46175 ,49743 ,57998 ,43966 ,38828 ,32704 ,17716 ,5084 ,711 
030007,岩手県,計,1189670 ,33460 ,43633 ,48736 ,51326 ,48306 ,46697 ,51983 ,61943 ,71335 ,82695 ,80624 ,77368 ,83287 ,89366 ,100729 ,71903 ,62164 ,48921 ,26046 ,7819 ,1053 
030007,岩手県,男,574336 ,17129 ,22365 ,25004 ,26369 ,25324 ,24807 ,26919 ,31810 ,36705 ,42528 ,41157 ,38751 ,41576 ,43988 ,48134 ,32158 ,24294 ,16664 ,6987 ,1488 ,100 
030007,岩手県,女,615334 ,16331 ,21268 ,23732 ,24957 ,22982 ,21890 ,25064 ,30133 ,34630 ,40167 ,39467 ,38617 ,41711 ,45378 ,52595 ,39745 ,37870 ,32257 ,19059 ,6331 ,953 
040002,宮城県,計,2257472 ,72753 ,90026 ,96797 ,102024 ,113960 ,110074 ,117025 ,136947 ,151886 ,169619 ,160461 ,140529 ,141835 ,149963 ,171954 ,117811 ,94674 ,70256 ,36485 ,10832 ,1490 
040002,宮城県,男,1101028 ,37204 ,46331 ,49441 ,52280 ,58534 ,56646 ,59661 ,69476 ,77074 ,86301 ,81568 ,70224 ,69913 ,73319 ,82118 ,53897 ,39522 ,24881 ,10220 ,2208 ,182 
040002,宮城県,女,1156444 ,35549 ,43695 ,47356 ,49744 ,55426 ,53428 ,57364 ,67471 ,74812 ,83318 ,78893 ,70305 ,71922 ,76644 ,89836 ,63914 ,55152 ,45375 ,26265 ,8624 ,1308 
050008,秋田県,計,941021 ,22795 ,29597 ,34711 ,37075 ,32969 ,31785 ,36074 ,46024 ,54643 ,63303 ,61471 ,60316 ,69814 ,78221 ,88955 ,62393 ,53674 ,44885 ,24252 ,6751 ,867 
050008,秋田県,男,445216 ,11658 ,15118 ,17695 ,19019 ,17339 ,16940 ,18685 ,23599 ,28135 ,32491 ,30701 ,29683 ,34031 ,37768 ,41940 ,27335 ,20522 ,14997 ,6107 ,1214 ,88 
050008,秋田県,女,495805 ,11137 ,14479 ,17016 ,18056 ,15630 ,14845 ,17389 ,22425 ,26508 ,30812 ,30770 ,30633 ,35783 ,40453 ,47015 ,35058 ,33152 ,29888 ,18145 ,5537 ,779 
060003,山形県,計,1042396 ,31203 ,38873 ,43604 ,46339 ,43500 ,40313 ,45487 ,55203 ,63003 ,69806 ,66889 ,64987 ,72849 ,78573 ,90644 ,61825 ,52721 ,43118 ,24496 ,7471 ,1017 
060003,山形県,男,505038 ,16082 ,19867 ,22386 ,23856 ,23083 ,21431 ,23440 ,28424 ,32358 ,35693 ,33718 ,32171 ,35882 ,38539 ,44465 ,28651 ,21663 ,15156 ,6566 ,1417 ,121 
