令和5年1月1日住民基本台帳年齢階級別人口（都道府県別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,
,,,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳～94歳,95歳～99歳,100歳以上
060003,山形県,女,537358 ,15121 ,19006 ,21218 ,22483 ,20417 ,18882 ,22047 ,26779 ,30645 ,34113 ,33171 ,32816 ,36967 ,40034 ,46179 ,33174 ,31058 ,27962 ,17930 ,6054 ,896 
070009,福島県,計,1818581 ,55627 ,70733 ,74381 ,82200 ,81147 ,78291 ,86306 ,100403 ,109940 ,125412 ,120926 ,116394 ,127814 ,136366 ,153156 ,101174 ,84167 ,64918 ,35945 ,11082 ,1512 
070009,福島県,男,894008 ,28289 ,36068 ,38402 ,42291 ,43134 ,41963 ,45543 ,52623 ,57084 ,65129 ,61789 ,58819 ,63975 ,67818 ,75032 ,46864 ,34739 ,22264 ,9670 ,2102 ,192 
070009,福島県,女,924573 ,27338 ,34665 ,35979 ,39909 ,38013 ,36328 ,40763 ,47780 ,52856 ,60283 ,59137 ,57575 ,63839 ,68548 ,78124 ,54310 ,49428 ,42654 ,26275 ,8980 ,1320 
080004,茨城県,計,2879808 ,91315 ,112899 ,123867 ,131119 ,141498 ,138001 ,143945 ,165618 ,182849 ,215144 ,215345 ,182137 ,175052 ,190393 ,227237 ,171740 ,132114 ,83179 ,41801 ,12801 ,1751 
080004,茨城県,男,1444968 ,46668 ,58138 ,63779 ,67469 ,75783 ,75868 ,77875 ,87539 ,96013 ,112753 ,112366 ,93420 ,87842 ,94240 ,109313 ,80148 ,59291 ,31871 ,11896 ,2504 ,191 
080004,茨城県,女,1434840 ,44647 ,54761 ,60088 ,63650 ,65715 ,62133 ,66070 ,78079 ,86836 ,102391 ,102979 ,88717 ,87210 ,96153 ,117924 ,91592 ,72823 ,51308 ,29905 ,10297 ,1560 
090000,栃木県,計,1929434 ,61372 ,76366 ,83394 ,88401 ,92090 ,91023 ,96904 ,113081 ,125196 ,146282 ,142627 ,122192 ,120140 ,130543 ,153596 ,110111 ,82525 ,55291 ,28372 ,8739 ,1188 
090000,栃木県,男,965101 ,31628 ,39401 ,43035 ,45374 ,48546 ,49725 ,51852 ,59636 ,65648 ,76486 ,74170 ,62387 ,60398 ,64894 ,74673 ,51367 ,35824 ,20243 ,7996 ,1699 ,119 
090000,栃木県,女,964333 ,29744 ,36965 ,40359 ,43027 ,43544 ,41298 ,45052 ,53445 ,59548 ,69796 ,68457 ,59805 ,59742 ,65649 ,78923 ,58744 ,46701 ,35048 ,20376 ,7040 ,1069 
100005,群馬県,計,1930976 ,61481 ,73987 ,83300 ,90275 ,96312 ,92415 ,93585 ,104970 ,118841 ,145100 ,146277 ,123743 ,115665 ,123274 ,151390 ,117803 ,90330 ,59709 ,31268 ,9697 ,1417 
100005,群馬県,男,957731 ,31585 ,37873 ,42788 ,46430 ,50980 ,49799 ,49898 ,54906 ,61868 ,74933 ,75224 ,62783 ,58304 ,61091 ,72632 ,54631 ,38814 ,22006 ,9034 ,1945 ,163 
100005,群馬県,女,973245 ,29896 ,36114 ,40512 ,43845 ,45332 ,42616 ,43687 ,50064 ,56973 ,70167 ,71053 ,60960 ,57361 ,62183 ,78758 ,63172 ,51516 ,37703 ,22234 ,7752 ,1254 
110001,埼玉県,計,7381035 ,251006 ,296053 ,313412 ,326767 ,381357 ,402298 ,405983 ,442082 ,488514 ,586376 ,604523 ,492021 ,412750 ,406813 ,516079 ,427947 ,331367 ,193029 ,78291 ,21170 ,3155 
110001,埼玉県,男,3683336 ,128667 ,151731 ,160858 ,167417 ,195278 ,206206 ,211459 ,230017 ,254464 ,305932 ,315292 ,254444 ,210337 ,201827 ,244660 ,194864 ,145404 ,76236 ,23606 ,4268 ,347 
110001,埼玉県,女,3697699 ,122339 ,144322 ,152554 ,159350 ,186079 ,196092 ,194524 ,212065 ,234050 ,280444 ,289231 ,237577 ,202413 ,204986 ,271419 ,233083 ,185963 ,116793 ,54685 ,16902 ,2808 
120006,千葉県,計,6310075 ,212996 ,248756 ,265828 ,277122 ,326748 ,339287 ,340085 ,376863 ,413419 ,492460 ,510643 ,414282 ,354440 ,353526 ,448115 ,372436 ,286877 ,175646 ,76322 ,21130 ,3091 
120006,千葉県,男,3142249 ,109064 ,127642 ,136728 ,142074 ,168841 ,175984 ,177318 ,196015 ,214208 ,255952 ,265101 ,214096 ,180329 ,174020 ,212859 ,169572 ,126064 ,68789 ,22960 ,4287 ,346 
120006,千葉県,女,3167826 ,103932 ,121114 ,129100 ,135048 ,157907 ,163303 ,162767 ,180848 ,199211 ,236508 ,245542 ,200186 ,174111 ,179506 ,235256 ,202864 ,160813 ,106857 ,53362 ,16843 ,2745 
130001,東京都,計,13841665 ,485192 ,542560 ,533613 ,538024 ,782630 ,972621 ,921813 ,962706 ,1011353 ,1122030 ,1137452 ,947525 ,746209 ,640556 ,766761 ,637622 ,516913 ,356622 ,165443 ,46866 ,7057 
130001,東京都,男,6797186 ,248677 ,276981 ,273763 ,274698 ,391714 ,488661 ,466990 ,489764 ,514871 ,568734 ,574845 ,486455 ,379587 ,317227 ,365460 ,283068 ,209717 ,127564 ,47723 ,9769 ,880 
130001,東京都,女,7044479 ,236515 ,265579 ,259850 ,263326 ,390916 ,483960 ,454823 ,472942 ,496482 ,553296 ,562607 ,461070 ,366622 ,323329 ,401301 ,354554 ,307196 ,229058 ,117720 ,37097 ,6177 
140007,神奈川県,計,9212003 ,314975 ,365671 ,388859 ,404397 ,488855 ,524729 ,507145 ,555313 ,616593 ,738736 ,783686 ,654300 ,524508 ,470114 ,592431 ,491568 ,393255 ,250095 ,111143 ,30902 ,4711 
140007,神奈川県,男,4585230 ,161369 ,187526 ,199164 ,208137 ,249508 ,272574 ,263490 ,287534 ,317486 ,379540 ,403568 ,341604 ,269859 ,233564 ,281814 ,222500 ,169000 ,96133 ,33631 ,6615 ,606 
140007,神奈川県,女,4626773 ,153606 ,178145 ,189695 ,196260 ,239347 ,252155 ,243655 ,267779 ,299107 ,359196 ,380118 ,312696 ,254649 ,236550 ,310617 ,269068 ,224255 ,153962 ,77512 ,24287 ,4105 
150002,新潟県,計,2163908 ,65589 ,81016 ,90139 ,94578 ,93459 ,89237 ,97664 ,115953 ,131995 ,155568 ,150158 ,138746 ,140091 ,153406 ,183634 ,131025 ,107661 ,81973 ,45111 ,14465 ,2289 
150002,新潟県,男,1052557 ,33474 ,41629 ,46266 ,48533 ,49106 ,46856 ,50635 ,59916 ,67813 ,79323 ,76822 ,69438 ,70141 ,75631 ,88115 ,60117 ,44875 ,28715 ,12146 ,2700 ,256 
150002,新潟県,女,1111351 ,32115 ,39387 ,43873 ,46045 ,44353 ,42381 ,47029 ,56037 ,64182 ,76245 ,73336 ,69308 ,69950 ,77775 ,95519 ,70908 ,62786 ,53258 ,32965 ,11765 ,2033 
160008,富山県,計,1028440 ,32453 ,38266 ,42004 ,45704 ,48581 ,46313 ,46228 ,53018 ,60785 ,78298 ,77568 ,63881 ,61420 ,64646 ,84258 ,68924 ,51832 ,37089 ,19870 ,6329 ,973 
160008,富山県,男,500538 ,16731 ,19616 ,21657 ,23564 ,25822 ,25001 ,24748 ,27628 ,31447 ,40373 ,39580 ,31894 ,30227 ,31108 ,39649 ,31023 ,21483 ,12672 ,5082 ,1115 ,118 
160008,富山県,女,527902 ,15722 ,18650 ,20347 ,22140 ,22759 ,21312 ,21480 ,25390 ,29338 ,37925 ,37988 ,31987 ,31193 ,33538 ,44609 ,37901 ,30349 ,24417 ,14788 ,5214 ,855 
170003,石川県,計,1117303 ,38367 ,45645 ,49098 ,53049 ,58494 ,52693 ,53477 ,59586 ,67480 ,85196 ,82327 ,69357 ,66690 ,67969 ,86720 ,69094 ,50848 ,35242 ,19031 ,5975 ,965 
170003,石川県,男,541892 ,19662 ,23492 ,25013 ,27273 ,31044 ,27620 ,27533 ,30425 ,34256 ,43538 ,41282 ,34251 ,32434 ,32697 ,40497 ,31401 ,21221 ,12171 ,4870 ,1088 ,124 
170003,石川県,女,575411 ,18705 ,22153 ,24085 ,25776 ,27450 ,25073 ,25944 ,29161 ,33224 ,41658 ,41045 ,35106 ,34256 ,35272 ,46223 ,37693 ,29627 ,23071 ,14161 ,4887 ,841 
180009,福井県,計,759777 ,26712 ,31134 ,34631 ,36224 ,36434 ,34908 ,36357 ,41350 ,45301 ,54018 ,53111 ,47628 ,48271 ,48829 ,61161 ,42910 ,34681 ,26461 ,14392 ,4522 ,656 
180009,福井県,男,370208 ,13678 ,16030 ,17790 ,18592 ,18956 ,18516 ,19031 ,21173 ,23155 ,27622 ,26797 ,23466 ,23708 ,23863 ,29323 ,19572 ,14550 ,9363 ,4059 ,869 ,74 
180009,福井県,女,389569 ,13034 ,15104 ,16841 ,17632 ,17478 ,16392 ,17326 ,20177 ,22146 ,26396 ,26314 ,24162 ,24563 ,24966 ,31838 ,23338 ,20131 ,17098 ,10333 ,3653 ,582 
190004,山梨県,計,812615 ,26442 ,30810 ,33712 ,37662 ,40173 ,37285 ,37701 ,42512 ,46967 ,56877 ,60369 ,55691 ,52786 ,54411 ,63072 ,48070 ,39094 ,27382 ,15491 ,5114 ,869 
190004,山梨県,男,399285 ,13420 ,15683 ,17261 ,19467 ,21230 ,19956 ,19828 ,22041 ,24167 ,29068 ,30803 ,28180 ,26473 ,26818 ,30291 ,22126 ,16759 ,9974 ,4468 ,1080 ,121 
190004,山梨県,女,413330 ,13022 ,15127 ,16451 ,18195 ,18943 ,17329 ,17873 ,20471 ,22800 ,27809 ,29566 ,27511 ,26313 ,27593 ,32781 ,25944 ,22335 ,17408 ,11023 ,4034 ,748 
200000,長野県,計,2043798 ,66943 ,80879 ,89126 ,94699 ,92149 ,88019 ,92413 ,105658 ,121815 ,149422 ,149337 ,130758 ,126967 ,129850 ,159200 ,126608 ,103318 ,74902 ,43963 ,15024 ,2329 
200000,長野県,男,1000069 ,34382 ,41573 ,45576 ,48624 ,48080 ,46819 ,47860 ,54229 ,62278 ,76388 ,76320 ,65619 ,63109 ,64361 ,76513 ,58500 ,44528 ,28266 ,13384 ,3238 ,292 
200000,長野県,女,1043729 ,32561 ,39306 ,43550 ,46075 ,44069 ,41200 ,44553 ,51429 ,59537 ,73034 ,73017 ,65139 ,63858 ,65489 ,82687 ,68108 ,58790 ,46636 ,30579 ,11786 ,2037 
210005,岐阜県,計,1982294 ,64712 ,79960 ,89873 ,94510 ,99907 ,90732 ,91925 ,105918 ,118573 ,145457 ,147392 ,127188 ,121268 ,122595 ,156640 ,119961 ,96685 ,65414 ,32418 ,9633 ,1445 
210005,岐阜県,男,966746 ,33068 ,41085 ,46119 ,48117 ,51599 ,47618 ,47955 ,54569 ,60590 ,74365 ,74386 ,63139 ,59212 ,58772 ,74196 ,55085 ,41125 ,24281 ,9375 ,1906 ,160 
210005,岐阜県,女,1015548 ,31644 ,38875 ,43754 ,46393 ,48308 ,43114 ,43970 ,51349 ,57983 ,71092 ,73006 ,64049 ,62056 ,63823 ,82444 ,64876 ,55560 ,41133 ,23043 ,7727 ,1285 
220001,静岡県,計,3633773 ,116532 ,143997 ,160475 ,166116 ,170377 ,169020 ,174885 ,203379 ,224275 ,268043 ,273510 ,236513 ,223649 ,228512 ,282868 ,218545 ,176087 ,117703 ,58704 ,17908 ,2645 
220001,静岡県,男,1797232 ,59791 ,74109 ,82325 ,85494 ,89805 ,91052 ,92186 ,106285 ,115858 ,138425 ,140289 ,120369 ,112146 ,112825 ,135694 ,100186 ,75659 ,43709 ,17093 ,3603 ,317 
220001,静岡県,女,1836541 ,56741 ,69888 ,78150 ,80622 ,80572 ,77968 ,82699 ,97094 ,108417 ,129618 ,133221 ,116144 ,111503 ,115687 ,147174 ,118359 ,100428 ,73994 ,41611 ,14305 ,2328 
230006,愛知県,計,7512703 ,284070 ,327637 ,349092 ,354638 ,413519 ,428038 ,422946 ,461760 ,492976 ,585325 ,596777 ,485856 ,415081 ,383882 ,486295 ,397562 ,316698 ,196482 ,86728 ,23909 ,3348 
230006,愛知県,男,3759144 ,145942 ,167979 ,179096 ,181838 ,216420 ,227022 ,224592 ,242732 ,257317 ,302951 ,308632 ,250391 ,209935 ,189512 ,229859 ,182064 ,137152 ,74824 ,25556 ,4898 ,390 
230006,愛知県,女,3753559 ,138128 ,159658 ,169996 ,172800 ,197099 ,201016 ,198354 ,219028 ,235659 ,282374 ,288145 ,235465 ,205146 ,194370 ,256436 ,215498 ,179546 ,121658 ,61172 ,19011 ,2958 
240001,三重県,計,1772427 ,58984 ,70582 ,78543 ,82171 ,87949 ,85284 ,86504 ,97083 ,106044 ,130995 ,132662 ,115166 ,108993 ,108300 ,134927 ,105474 ,84686 ,58720 ,29439 ,8605 ,1222 
240001,三重県,男,869284 ,30352 ,36213 ,40245 ,41983 ,45811 ,46172 ,45729 ,50703 ,54637 ,66949 ,67385 ,57623 ,53409 ,52388 ,63493 ,48054 ,36054 ,21623 ,8608 ,1709 ,135 
240001,三重県,女,903143 ,28632 ,34369 ,38298 ,40188 ,42138 ,39112 ,40775 ,46380 ,51407 ,64046 ,65277 ,57543 ,55584 ,55912 ,71434 ,57420 ,48632 ,37097 ,20831 ,6896 ,1087 
250007,滋賀県,計,1413989 ,54697 ,64666 ,69766 ,70696 ,74890 ,70986 ,73765 ,84213 ,92291 ,108115 ,105080 ,87682 ,81525 ,80127 ,99503 ,74177 ,56719 ,38485 ,19701 ,5984 ,876 
250007,滋賀県,男,698533 ,28141 ,33276 ,35785 ,36574 ,39460 ,37758 ,38555 ,43144 ,46722 ,54610 ,53281 ,43779 ,39989 ,39105 ,47443 ,34416 ,24937 ,14480 ,5751 ,1213 ,96 
250007,滋賀県,女,715456 ,26556 ,31390 ,33981 ,34122 ,35430 ,33228 ,35210 ,41069 ,45569 ,53505 ,51799 ,43903 ,41536 ,41022 ,52060 ,39761 ,31782 ,24005 ,13950 ,4771 ,780 
260002,京都府,計,2501269 ,82572 ,98152 ,105893 ,115439 ,139380 ,125380 ,120950 ,136221 ,153134 ,190343 ,193289 ,161289 ,142985 ,137954 ,189789 ,152757 ,121010 ,81343 ,39450 ,11875 ,1994 
260002,京都府,男,1197311 ,42306 ,50382 ,54417 ,59125 ,71313 ,63084 ,60449 ,67685 ,75593 ,94106 ,95704 ,78845 ,69657 ,65545 ,87013 ,67686 ,50560 ,29892 ,11355 ,2349 ,205 
260002,京都府,女,1303958 ,40266 ,47770 ,51476 ,56314 ,68067 ,62296 ,60501 ,68536 ,77541 ,96237 ,97585 ,82444 ,73328 ,72409 ,102776 ,85071 ,70450 ,51451 ,28095 ,9526 ,1789 
270008,大阪府,計,8784421 ,308340 ,344546 ,369230 ,389956 ,486161 ,504139 ,481503 ,510419 ,549531 ,679487 ,722383 ,586390 ,482659 ,448961 ,602920 ,503244 ,414509 ,257246 ,109529 ,28802 ,4439 
270008,大阪府,男,4227429 ,158025 ,176222 ,189181 ,199094 ,244219 ,250678 ,240698 ,254943 ,272996 ,337168 ,359721 ,290544 ,237933 ,215870 ,278088 ,220694 ,171331 ,93469 ,30584 ,5504 ,453 
270008,大阪府,女,4556992 ,150315 ,168324 ,180049 ,190862 ,241942 ,253461 ,240805 ,255476 ,276535 ,342319 ,362662 ,295846 ,244726 ,233091 ,324832 ,282550 ,243178 ,163777 ,78945 ,23298 ,3986 
280003,兵庫県,計,5459867 ,188332 ,225120 ,244302 ,251881 ,276751 ,257505 ,265632 ,303222 ,335682 ,414332 ,429340 ,361208 ,326827 ,318441 ,404959 ,320120 ,253940 ,171426 ,83223 ,23963 ,3660 
280003,兵庫県,男,2613028 ,96342 ,115396 ,124969 ,129089 ,140331 ,128871 ,133292 ,151343 ,165444 ,203854 ,211208 ,176413 ,157444 ,152360 ,188314 ,142029 ,105745 ,61834 ,23480 ,4863 ,406 
280003,兵庫県,女,2846839 ,91990 ,109724 ,119333 ,122792 ,136420 ,128634 ,132340 ,151879 ,170238 ,210478 ,218132 ,184795 ,169383 ,166081 ,216645 ,178091 ,148195 ,109592 ,59743 ,19100 ,3254 
290009,奈良県,計,1325385 ,42026 ,51444 ,57241 ,62116 ,64080 ,56018 ,58750 ,68508 ,76793 ,95797 ,101133 ,87908 ,81352 ,83062 ,108710 ,86862 ,69672 ,44713 ,21489 ,6504 ,989 
290009,奈良県,男,628265 ,21634 ,26244 ,29168 ,31757 ,32181 ,27698 ,29121 ,33655 ,37296 ,46778 ,49104 ,42056 ,38776 ,39094 ,50016 ,38610 ,30149 ,17197 ,6196 ,1313 ,118 
290009,奈良県,女,697120 ,20392 ,25200 ,28073 ,30359 ,31899 ,28320 ,29629 ,34853 ,39497 ,49019 ,52029 ,45852 ,42576 ,43968 ,58694 ,48252 ,39523 ,27516 ,15293 ,5191 ,871 
300004,和歌山県,計,924469 ,28833 ,34966 ,38636 ,40166 ,41220 ,38330 ,40923 ,47463 ,51696 ,64577 ,67558 ,61029 ,60608 ,61416 ,77158 ,60177 ,49264 ,35347 ,18336 ,5700 ,873 
300004,和歌山県,男,437855 ,14800 ,17911 ,19703 ,20669 ,21234 ,19692 ,20834 ,23908 ,25640 ,32248 ,33187 ,28816 ,28874 ,29448 ,35876 ,26464 ,20113 ,12129 ,5070 ,1053 ,96 
300004,和歌山県,女,486614 ,14033 ,17055 ,18933 ,19497 ,19986 ,18638 ,20089 ,23555 ,26056 ,32329 ,34371 ,32213 ,31734 ,31968 ,41282 ,33713 ,29151 ,23218 ,13266 ,4647 ,777 
310000,鳥取県,計,546558 ,19558 ,22997 ,24175 ,25353 ,23810 ,22018 ,24732 ,30026 ,33492 ,37992 ,35621 ,32485 ,35272 ,39064 ,45250 ,31772 ,25405 ,20656 ,11952 ,4074 ,702 
310000,鳥取県,男,261931 ,10130 ,11847 ,12337 ,12977 ,12347 ,11150 ,12595 ,15352 ,16999 ,19342 ,17868 ,15898 ,17094 ,19044 ,21539 ,14323 ,10117 ,7004 ,3119 ,732 ,67 
310000,鳥取県,女,284627 ,9428 ,11150 ,11838 ,12376 ,11463 ,10868 ,12137 ,14674 ,16493 ,18650 ,17753 ,16587 ,18178 ,20020 ,23711 ,17449 ,15288 ,13652 ,8833 ,3342 ,635 
320005,島根県,計,658809 ,22823 ,27548 ,29084 ,29935 ,27708 ,26389 ,28685 ,34154 ,38208 ,44710 ,41704 ,37796 ,41922 ,45689 ,56597 ,41263 ,32648 ,28543 ,16681 ,5627 ,935 
320005,島根県,男,317334 ,11639 ,14179 ,14971 ,15417 ,14340 ,13805 ,14638 ,17462 ,19653 ,23052 ,21040 ,18694 ,20832 ,22676 ,27486 ,18784 ,13133 ,9875 ,4509 ,982 ,116 
320005,島根県,女,341475 ,11184 ,13369 ,14113 ,14518 ,13368 ,12584 ,14047 ,16692 ,18555 ,21658 ,20664 ,19102 ,21090 ,23013 ,29111 ,22479 ,19515 ,18668 ,12172 ,4645 ,819 
330001,岡山県,計,1865478 ,67260 ,78510 ,83916 ,86935 ,95178 ,90447 ,91566 ,104025 ,111806 ,136700 ,132941 ,109557 ,108138 ,112271 ,142055 ,114084 ,87681 ,64395 ,35376 ,10847 ,1738 
330001,岡山県,男,902019 ,34533 ,40261 ,43246 ,44913 ,48748 ,46735 ,46751 ,52716 ,56626 ,69055 ,66543 ,54203 ,52682 ,54601 ,66897 ,51492 ,36832 ,23108 ,9732 ,2153 ,174 
330001,岡山県,女,963459 ,32727 ,38249 ,40670 ,42022 ,46430 ,43712 ,44815 ,51309 ,55180 ,67645 ,66398 ,55354 ,55456 ,57670 ,75158 ,62592 ,50849 ,41287 ,25644 ,8694 ,1564 
340006,広島県,計,2770623 ,98100 ,117434 ,127099 ,128400 ,137261 ,134062 ,137439 ,154919 ,170272 ,208263 ,205586 ,168386 ,160172 ,164124 ,207958 ,168882 ,128248 ,89585 ,46485 ,15319 ,2576 
340006,広島県,男,1345934 ,50335 ,60054 ,65031 ,65954 ,71871 ,70177 ,71758 ,79100 ,86438 ,105384 ,102794 ,83158 ,78317 ,79553 ,97988 ,76335 ,53493 ,32247 ,12711 ,2920 ,308 
340006,広島県,女,1424689 ,47765 ,57380 ,62068 ,62446 ,65390 ,63885 ,65681 ,75819 ,83834 ,102879 ,102792 ,85228 ,81855 ,84571 ,109970 ,92547 ,74755 ,57338 ,33774 ,12399 ,2268 
350001,山口県,計,1326218 ,41926 ,50664 ,56556 ,58609 ,58899 ,53559 ,56046 ,67187 ,75374 ,93460 ,92353 ,78485 ,81024 ,89871 ,117756 ,90356 ,72730 ,52941 ,28059 ,8826 ,1499 
350001,山口県,男,631982 ,21424 ,26276 ,28805 ,29974 ,30736 ,28259 ,29396 ,34132 ,38201 ,47551 ,45874 ,38025 ,39062 ,43127 ,55108 ,39658 ,29037 ,18125 ,7462 ,1588 ,157 
350001,山口県,女,694236 ,20502 ,24388 ,27751 ,28635 ,28163 ,25300 ,26650 ,33055 ,37173 ,45909 ,46479 ,40460 ,41962 ,46744 ,62648 ,50698 ,43693 ,34816 ,20597 ,7238 ,1342 
360007,徳島県,計,718879 ,22497 ,27243 ,29439 ,30721 ,31429 ,28937 ,31648 ,38154 ,43275 ,50613 ,49102 ,44879 ,46420 ,51683 ,64113 ,44269 ,35719 ,27881 ,15285 ,4756 ,678 
360007,徳島県,男,344495 ,11547 ,14142 ,15148 ,15726 ,16106 ,15039 ,16309 ,19250 ,22215 ,25205 ,24040 ,21746 ,22385 ,25009 ,30761 ,20313 ,14744 ,9744 ,4064 ,868 ,81 
360007,徳島県,女,374384 ,10950 ,13101 ,14291 ,14995 ,15323 ,13898 ,15339 ,18904 ,21060 ,25408 ,25062 ,23133 ,24035 ,26674 ,33352 ,23956 ,20975 ,18137 ,11221 ,3888 ,597 
370002,香川県,計,956787 ,32065 ,39016 ,42281 ,44047 ,45600 ,41942 ,44573 ,52311 ,58475 ,72009 ,68192 ,56586 ,57020 ,60614 ,78934 ,59005 ,44772 ,33824 ,18621 ,5876 ,978 
370002,香川県,男,463321 ,16330 ,20137 ,21747 ,22374 ,23942 ,21869 ,23132 ,26765 ,29645 ,36351 ,34321 ,27814 ,27811 ,29396 ,37248 ,26701 ,18871 ,12084 ,5397 ,1234 ,131 
