令和6年1月1日住民基本台帳年齢階級別人口（都道府県別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,
,,,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳～94歳,95歳～99歳,100歳以上
団体コード,都道府県名,性別,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人
-,合計,計,124885175 ,4095292 ,4943600 ,5347090 ,5583651 ,6300569 ,6526737 ,6441575 ,7143657 ,7842264 ,9114181 ,9753369 ,8365801 ,7501583 ,7312836 ,8636651 ,7517528 ,5917303 ,3883520 ,1969485 ,596929 ,91508 
-,合計,男,60926351 ,2097899 ,2534621 ,2741303 ,2861505 ,3241663 ,3368210 ,3315907 ,3654695 ,3992433 ,4631636 ,4934034 ,4200360 ,3725441 ,3569759 ,4080923 ,3397011 ,2469398 ,1419014 ,561795 ,118099 ,10627 
-,合計,女,63958824 ,1997393 ,2408979 ,2605787 ,2722146 ,3058906 ,3158527 ,3125668 ,3488962 ,3849831 ,4482545 ,4819335 ,4165441 ,3776142 ,3743077 ,4555728 ,4120517 ,3447905 ,2464506 ,1407690 ,478830 ,80881 
010006,北海道,計,5093983 ,140997 ,177109 ,197939 ,210453 ,226704 ,227241 ,235067 ,271558 ,307060 ,366882 ,383074 ,343139 ,336663 ,340614 ,418969 ,335101 ,262643 ,182597 ,94720 ,29235 ,4465 
010006,北海道,男,2410304 ,72530 ,90543 ,101250 ,107820 ,116886 ,116864 ,118945 ,136622 ,153344 ,182465 ,188616 ,164572 ,161509 ,161567 ,190994 ,144344 ,102960 ,64109 ,27158 ,5773 ,573 
010006,北海道,女,2683679 ,68467 ,86566 ,96689 ,102633 ,109818 ,110377 ,116122 ,134936 ,153716 ,184417 ,194458 ,178567 ,175154 ,179047 ,227975 ,190757 ,159683 ,118488 ,67562 ,23462 ,3892 
020001,青森県,計,1205578 ,32065 ,41859 ,46339 ,50122 ,47124 ,45536 ,49582 ,60694 ,70914 ,82581 ,87425 ,83471 ,87275 ,92436 ,105088 ,81213 ,63003 ,47525 ,23615 ,6481 ,835 
020001,青森県,男,571845 ,16451 ,21404 ,23697 ,25597 ,24932 ,24253 ,25753 ,30838 ,36047 ,41924 ,43687 ,40871 ,42404 ,43870 ,48483 ,35505 ,23896 ,15173 ,5751 ,1129 ,87 
020001,青森県,女,633733 ,15614 ,20455 ,22642 ,24525 ,22192 ,21283 ,23829 ,29856 ,34867 ,40657 ,43738 ,42600 ,44871 ,48566 ,56605 ,45708 ,39107 ,32352 ,17864 ,5352 ,748 
